rating;title;text;category;ai_generated
2;Disappointing battery;The features are okay, but the battery barely lasts a full day. I have to charge it every single night, which defeats the purpose of sleep tracking.;Electronics;1
5;Love this pillow case.;"I've bought the brand of pillow case many times, and keep coming back. The pillow cases are soft and don't irritate my skin. They wash up nicely, for silk; which takes a little extra care, but so worth it.";Home_and_Kitchen;0
5;Fits a big guy!;[[VIDEOID:35d1cafd2b619e98d3493d14e73e84f4]] Ha ha ha! Love it! Got this for a bigger guy to wear for Halloween, it's awesome - so funny!;Clothing_Shoes_and_Jewelry;0
5;Mums the word;This flower is much darker than red. It is still pretty. Just didn't expect it to be so dark. The stems seem strong and the flowers are full.;Home_and_Kitchen;0
3;Leaks a bit.;It boils water very quickly, which is great, but I've noticed a small leak around the base after a few uses. I'm considering returning it.;Home_and_Kitchen;1
5;Wow. Miracle working;This product is a miracle. My skin has dramatically changed. You pay for what you get. This pricey item is worth ever penny. My acne prone, aged spot, large pore skin has been transformed into softer, clearer, smaller pore goodness. It has not worked all miracles and additional work will need to be done to remove some lingering stubborn age spots and wrinkles. But overall this is an incredible product.;Beauty_and_Personal_Care;0
5;Great gifts;I bought myself one and then bought 3 more for gifts just because. The receivers love them too, so easy to do eggs, no worries, well worth the money, very small appliance that can actually be left on the counter top if you like eggs a lot. Enjoy.;Home_and_Kitchen;0
1;Piece of junk;Stopped charging after exactly one week. Waste of money.;Electronics;1
5;Great fitness tracker;I love how accurate the heart rate monitor is. The battery lasts almost a full week on a single charge.;Electronics;1
2;Sharp!!;The tip on these tweezers is so sharp, you could use this for self defense!;Beauty_and_Personal_Care;0
5;Perfect !;Very comfortable, perfect fit and just as I remember them since I bought this a little over a year ago or so and they are one of my favourite socks I wear these all the time, they are also perfect for working out because they have a little cushion at the back, which also, happens to make them perfect for me because I am always hurting myself with new shoes and so whenever I wear low socks and these ones have that cushion that specially protects you against that at the back, the cushion is not ugly or super big like with other brands I find and it's also really comfortable and looks just like part of the sock. They fit really well for my huge feet size 10 US.;Clothing_Shoes_and_Jewelry;0
5;Absolute kitchen staple;I don't know how I lived without this. It cooks everything so quickly and the food comes out crispy without all the oil. I've used it for wings, fries, and even roasted vegetables. The cleanup is a breeze because the basket is dishwasher safe. Definitely worth the money.;Home_and_Kitchen;1
5;A bit thinner than expected;"I recently bought a 10.5 inch T-Fal Signature Titanium pan, and I like it so much, and I needed one like this, that I bought one of these too. For the price, I'm okay with it. But, it's nowhere near as thick as the 10.5"". I assume I could pay more to get a better pan, but I'll probably just buy another one of these when I wear this one out.";Home_and_Kitchen;0
5;Sony happy;Compact with great sound;Electronics;0
5;Simple and elegant;Just what I was looking for.;Clothing_Shoes_and_Jewelry;1
5;Finally underwear  that fits!;I got this brand by accident & I refer to it as a happy accident. Best underwear ever. Not the sexiest but the best fitting. Washes well & keeps it fit / style after many washes. I have given this brand as gifts & everyone loves them & buys more. The brand also has a mens style that men also love. Great underwear.;Clothing_Shoes_and_Jewelry;0
3;Small;dainty earring stud. More appropriate for a child or teen.;Clothing_Shoes_and_Jewelry;0
5;Nice looking and very sturdy;I ordered the white one. It looks modern and simple. Though I have a 4/5 for assembling because the drawer does not open/close smoothly, I ended up getting a second one for my college daughter. She loves it as well.;Home_and_Kitchen;0
5;Easy install;The alignment tool made it so easy. No bubbles at all!;Cell_Phones_and_Accessories;1
5;My husband approved;My husband usually complains when I buy a new mat. But he really likes this one. The suction is great, it looks great in white and very comfortable under the feet. Best buy I've made for the bath tub and surely recommend it for you or as a gift.;Home_and_Kitchen;0
1;To thick so I just quit...;I simply don’t understand.... I’m just plain confused b/c these nose rings are horrible, so why all the good reviews...First, they are ugly, you can’t see the stone at all, and even worse, it’s so thick it hurts like crazy trying to get it in.Waste of money... smh...;Clothing_Shoes_and_Jewelry;0
5;Works well;I use this as an on/off switch for my sump pump when I'm watering my hemp plants using the reservoir water. Works great.;Tools_and_Home_Improvement;0
5;Warm and cozy;Perfect for the winter months.;Clothing_Shoes_and_Jewelry;1
3;Decent for basics;It gets the job done for hanging pictures and small tasks, but it struggles with bigger screws in hardwood. Battery life is average.;Tools_and_Home_Improvement;1
